שם ראשי,תואר,שם מישני,קבוצה,קבוצה נוספת,סוג,קוד,שכונה
יוהנה,,(ז'בוטינסקי),יא. תרבות ומדע,,שדרות,1066,נווה זאב
ייבין,,יהושוע,יא. תרבות ומדע,,רחוב,1067,נווה זאב
"יל""ג",,,יא. תרבות ומדע,,רחוב,1068,נווה זאב
ינשוף,,,יז. צמחים ובעלי חיים,,רחוב,124,נווה זאב
יסעור,,,יז. צמחים ובעלי חיים,,רחוב,128,נווה זאב
לרון,,אפרים,ב. תושבי העיר,טז. אנשי ציבור,רחוב,118,נווה זאב
מאפו,,אברהם,יא. תרבות ומדע,,רחוב,1070,נווה זאב
מבצע אסף,,,ט. לוחמי ישראל,,רחוב,960,נווה זאב
מבצע משה,,,ט. לוחמי ישראל,,רחוב,1071,נווה זאב
מי מרום,,,יא. תרבות ומדע,,רחוב,1052,נווה זאב
מקור חיים,,,יא. תרבות ומדע,,רחוב,1083,נווה זאב
מרידור,,יעקב,טז. אנשי ציבור,,רחוב,1034,נווה זאב
נאות אברהם,,,יא. תרבות ומדע,ד. הסטוריה יהודית,תת שכונה,,נווה זאב
נאות אילן,,,ט. לוחמי ישראל,,תת שכונה,6602,נווה זאב
נווה זאב,,,ד. הסטוריה יהודית,,שכונה,,נווה זאב
ניב,,דוד,יא. תרבות ומדע,,רחוב,1072,נווה זאב
נשר,,,יז. צמחים ובעלי חיים,,רחוב,127,נווה זאב
סוד השבועה,,,יא. תרבות ומדע,,רחוב,1097,נווה זאב
סילמן,,קדיש יהודה,יא. תרבות ומדע,,רחוב,1073,נווה זאב
סקולסקי,,שלמה,יא. תרבות ומדע,,רחוב,1076,נווה זאב
סרן דב,,(יעקב גרנק),ט. לוחמי ישראל,,רחוב,1077,נווה זאב
סתוי,,משה,יא. תרבות ומדע,,רחוב,1078,נווה זאב
עדי,,אמנו,ב. תושבי העיר,ט. לוחמי ישראל,גן,,נווה זאב
עיט,,,יז. צמחים ובעלי חיים,,רחוב,126,נווה זאב
עפרוני,,,יז. צמחים ובעלי חיים,,רחוב,139,נווה זאב
פיארברג,,מרדכי זאב,יא. תרבות ומדע,,רחוב,1081,נווה זאב
פיכמן,,יעקב,יא. תרבות ומדע,,רחוב,1082,נווה זאב
פינסקר,"ד""ר",יהודה לייב,ד. הסטוריה יהודית,,רחוב,133,נווה זאב
פרישמן,,דוד,יא. תרבות ומדע,,רחוב,1085,נווה זאב
פרץ,,.י.ל,יא. תרבות ומדע,,רחוב,1086,נווה זאב
פשוש,,,יז. צמחים ובעלי חיים,,רחוב,123,נווה זאב
צוקית,,,יז. צמחים ובעלי חיים,,רחוב,119,נווה זאב
צפורן,,,יז. צמחים ובעלי חיים,,גן,,נווה זאב
קול התור,,,יא. תרבות ומדע,,רחוב,1079,נווה זאב
קול מבשר,,,יא. תרבות ומדע,,רחוב,1033,נווה זאב
קיפניס,,לוין,יא. תרבות ומדע,,רחוב,962,נווה זאב
רוזנבלום,"ד""ר",הרצל,יא. תרבות ומדע,טו. מגילת העצמאות,רחוב,1089,נווה זאב
רוטרי,,,יח. קרוב לבבות,,כיכר,6011,נווה זאב
רונאל,,דב (פרנקל),יא. תרבות ומדע,,רחוב,1091,נווה זאב
שוחט,,ישראל,ט. לוחמי ישראל,,רחוב,135,נווה זאב
שופמן,,גרשון,יא. תרבות ומדע,,רחוב,1094,נווה זאב
שלדג,,,יז. צמחים ובעלי חיים,,רחוב,122,נווה זאב
שמאלי,,אליעזר,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1096,נווה זאב
אביגיל,,,ח. מורשת,,רחוב,1111,נווה מנחם
אבידוב,,צבי,יא. תרבות ומדע,יב. פרס ישראל,רחוב,552,נווה מנחם
אביטל,,,ח. מורשת,,רחוב,1112,נווה מנחם
אבישג,,,ח. מורשת,,רחוב,1113,נווה מנחם
אביתר הכהן,,,ח. מורשת,,רחוב,1114,נווה מנחם
אבשלום,,,ח. מורשת,,רחוב,1116,נווה מנחם
אגוז,,,ד. הסטוריה יהודית,,רחוב,1117,נווה מנחם
אהרון בן יעקב,,,ב. תושבי העיר,,רחוב,432,נווה מנחם
אהרונסון,,שרה ואהרון,ט. לוחמי ישראל,,רחוב,1118,נווה מנחם
אוליצקי,פרופ',אריה,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1119,נווה מנחם
אחינועם,,,ח. מורשת,,רחוב,1127,נווה מנחם
אלישבע,,(ביחובסקי),יא. תרבות ומדע,,רחוב,558,נווה מנחם
אלרואי,,דוד,ד. הסטוריה יהודית,,רחוב,1121,נווה מנחם
אמנון,,,ח. מורשת,,רחוב,1122,נווה מנחם
אנדה עמיר,,(פינקרפלד),יא. תרבות ומדע,יב. פרס ישראל,רחוב,594,נווה מנחם
אסתר המלכה,,,ח. מורשת,,רחוב,1123,נווה מנחם
אפרת,,יעקב,יא. תרבות ומדע,יב. פרס ישראל,רחוב,559,נווה מנחם
ארגוני הנשים,,,טז. אנשי ציבור,,כיכר,6000,נווה מנחם
ארנון,,יצחק,יא. תרבות ומדע,יב. פרס ישראל,רחוב,561,נווה מנחם
בלהה,,,ח. מורשת,,רחוב,1125,נווה מנחם
בלקינד,"ד""ר",נעמן,ט. לוחמי ישראל,,רחוב,1126,נווה מנחם
ברוד,"ד""ר",מקס,יא. תרבות ומדע,,רחוב,1132,נווה מנחם
ברוידס,,אברהם,יא. תרבות ומדע,,רחוב,1133,נווה מנחם
ברטונוב,,יהושוע,יא. תרבות ומדע,יב. פרס ישראל,רחוב,566,נווה מנחם
בת שבע,,,ח. מורשת,,רחוב,1137,נווה מנחם
גדליהו,,(בן אחיקם),ח. מורשת,,רחוב,1138,נווה מנחם
גרינשפן,,הרשל,ד. הסטוריה יהודית,,רחוב,1140,נווה מנחם
דביר,,,ח. מורשת,,רחוב,1350,נווה מנחם
דוד הראובני,,,ד. הסטוריה יהודית,,רחוב,1142,נווה מנחם
דותן,,,ז. מקומות של עם ישראל,,רחוב,1351,נווה מנחם
דקר,,,ט. לוחמי ישראל,,רחוב,1143,נווה מנחם
דרוינוב,,אברהם,יא. תרבות ומדע,,רחוב,1144,נווה מנחם
הוכברג,,נתנאל,יא. תרבות ומדע,יב. פרס ישראל,רחוב,662,נווה מנחם
החשמונאים,,,ח. מורשת,,רחוב,1147,נווה מנחם
היילפרין,פרופ',ליפמן,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1148,נווה מנחם
המלכים,,,ח. מורשת,,רחוב,1149,נווה מנחם
השופטים,,,ח. מורשת,,רחוב,1352,נווה מנחם
ווסרמיל,,ארתור,ח. מורשת,ב. תושבי העיר,רחוב,667,נווה מנחם
ויניק,פרופ',זאב,יא. תרבות ומדע,,רחוב,1151,נווה מנחם
זלפה,,,ח. מורשת,,רחוב,1152,נווה מנחם
זמנהוף,"ד""ר",אליעזר,יא. תרבות ומדע,,רחוב,1153,נווה מנחם
זנגויל,"ד""ר",ישראל,יא. תרבות ומדע,,רחוב,1154,נווה מנחם
זרובבל,,(בן שאלתיאל),ח. מורשת,,רחוב,1155,נווה מנחם
זריצקי,,יוסף,יא. תרבות ומדע,,רחוב,1325,נווה מנחם
חבס,,ברכה,יא. תרבות ומדע,,רחוב,582,נווה מנחם
חוה,,,ח. מורשת,,רחוב,1157,נווה מנחם
חנה,,,ח. מורשת,,רחוב,1158,נווה מנחם
חסמן,,מרק,ב. תושבי העיר,,רחוב,1403,נווה מנחם
טביוב,,ישראל חי,יא. תרבות ומדע,,רחוב,1159,נווה מנחם
טוב,,משה,ב. תושבי העיר,,רחוב,1160,נווה מנחם
טיכו,"ד""ר",אברהם,יא. תרבות ומדע,,רחוב,1161,נווה מנחם
יוכבד בת מרים,,,יא. תרבות ומדע,יב. פרס ישראל,רחוב,585,נווה מנחם
ילן שטקליס,,מרים,יא. תרבות ומדע,יב. פרס ישראל,רחוב,586,נווה מנחם
כספי,,זלמן,ב. תושבי העיר,יא. תרבות ומדע,רחוב,668,נווה מנחם
לאה,,,ח. מורשת,,רחוב,1162,נווה מנחם
לוזון,,אפרים,ד. הסטוריה יהודית,,רחוב,1163,נווה מנחם
לישנסקי,,יוסף,ט. לוחמי ישראל,,רחוב,1164,נווה מנחם
לסקר,,פרץ,ט. לוחמי ישראל,,רחוב,1165,נווה מנחם
מוטה גור,,( מרדכי ),ט. לוחמי ישראל,,רחוב,1402,נווה מנחם
מולכו,,שלמה,ד. הסטוריה יהודית,,רחוב,1167,נווה מנחם
מיכל,,,ח. מורשת,,רחוב,1168,נווה מנחם
מסקין,,אהרון,יא. תרבות ומדע,,רחוב,590,נווה מנחם
מרים הנביאה,,,ח. מורשת,,רחוב,1169,נווה מנחם
מרלא,,(רוז'קה קורצ'ק),ט. לוחמי ישראל,,רחוב,1170,נווה מנחם
נעמי,,,ח. מורשת,,רחוב,1172,נווה מנחם
סטולר,,שמואל,יא. תרבות ומדע,,רחוב,591,נווה מנחם
סמולנסקין,,פרץ,יא. תרבות ומדע,,רחוב,1173,נווה מנחם
סנה,,חיים,ב. תושבי העיר,,רחוב,665,נווה מנחם
פאבל,,(אברהם פרנקל),ט. לוחמי ישראל,,רחוב,1177,נווה מנחם
פועה,,,ח. מורשת,,רחוב,1178,נווה מנחם
פייגנבאום,פרופ',אריה,יא. תרבות ומדע,,רחוב,1179,נווה מנחם
פיינברג,,אבשלום,ט. לוחמי ישראל,,רחוב,1180,נווה מנחם
פילדרמן,,וילהלם,ד. הסטוריה יהודית,,רחוב,1181,נווה מנחם
פינקל,,שמעון,יא. תרבות ומדע,,רחוב,1401,נווה מנחם
פנינה,,,ח. מורשת,,רחוב,1182,נווה מנחם
צ'לנוב,,יחיאל,ד. הסטוריה יהודית,,רחוב,1184,נווה מנחם
צפורה,,,ח. מורשת,,רחוב,1185,נווה מנחם
קדושי יאסי,,,ד. הסטוריה יהודית,,רחוב,1186,נווה מנחם
קדושי סלוניקי,,,ד. הסטוריה יהודית,,רחוב,1187,נווה מנחם
קלצ'קין,,רפאל,יא. תרבות ומדע,,רחוב,599,נווה מנחם
רבקה,,,ח. מורשת,,רחוב,1190,נווה מנחם
רובינא,,חנה,יא. תרבות ומדע,,רחוב,651,נווה מנחם
רודנסקי,,שמואל,יא. תרבות ומדע,יב. פרס ישראל,רחוב,652,נווה מנחם
רוזנהיים,,,ו. ישובים הקשורים לעיר,,גן,,נווה מנחם
רות,,,ח. מורשת,,רחוב,1192,נווה מנחם
רחל אמנו,,,ח. מורשת,,רחוב,1193,נווה מנחם
ריינס,הרב,יעקב יצחק,ח. מורשת,,רחוב,1400,נווה מנחם
רייסר,,מיכה,טז. אנשי ציבור,,מ. ספורט,,נווה מנחם
שאול ואליהו,,,ט. לוחמי ישראל,,רחוב,1195,נווה מנחם
שולמית,,,ח. מורשת,,רחוב,1196,נווה מנחם
שיבא,פרופ',חיים,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1197,נווה מנחם
שפרה,,,ח. מורשת,,רחוב,1198,נווה מנחם
ששת הימים,,,ט. לוחמי ישראל,,שדרות,498,נווה מנחם
אביבית,,,יז. צמחים ובעלי חיים,,רחוב,1029,נווה נוי
אבידום,,מנחם,יא. תרבות ומדע,,רחוב,1031,נווה נוי
אדמון,,ידידיה (גורוכוב),יא. תרבות ומדע,יב. פרס ישראל,רחוב,1032,נווה נוי
אוכמנית,,,יז. צמחים ובעלי חיים,,רחוב,1447,נווה נוי
אורן,,,יז. צמחים ובעלי חיים,,רחוב,1446,נווה נוי
אטד,,,יז. צמחים ובעלי חיים,ח. מורשת,רחוב,1001,נווה נוי
אירוס הנגב,,,יז. צמחים ובעלי חיים,,רחוב,1015,נווה נוי
אלה,,,יז. צמחים ובעלי חיים,,רחוב,1448,נווה נוי
אלמוג,,,יז. צמחים ובעלי חיים,,רחוב,1449,נווה נוי
אפרסמון,,,יז. צמחים ובעלי חיים,,רחוב,1450,נווה נוי
ארבע הגיבורות,,,ד. הסטוריה יהודית,,רחוב,1036,נווה נוי
אשלים,,,יז. צמחים ובעלי חיים,,רחוב,1002,נווה נוי
בוסקוביץ,,אלכסנדר אוריה,יא. תרבות ומדע,,רחוב,1038,נווה נוי
"ביל""ו",,,ד. הסטוריה יהודית,,רחוב,1039,נווה נוי
בן חיים,,פאול,יא. תרבות ומדע,,רחוב,1040,נווה נוי
בן יעקב,,צבי,ט. לוחמי ישראל,,רחוב,1041,נווה נוי
ברדיצ'ב,,אבא,ט. לוחמי ישראל,,רחוב,1042,נווה נוי
גבתון,,חנוך,יא. תרבות ומדע,,רחוב,1049,נווה נוי
גולדשטיין,,פרץ,ט. לוחמי ישראל,,רחוב,1046,נווה נוי
גומא,,,יז. צמחים ובעלי חיים,,רחוב,1445,נווה נוי
גלזמן,,יוסף,ד. הסטוריה יהודית,,רחוב,1050,נווה נוי
דודאים,,,יז. צמחים ובעלי חיים,,רחוב,1003,נווה נוי
די זהב,,אפרים (גולדשטיין),יא. תרבות ומדע,,רחוב,1053,נווה נוי
הגנים,,,יז. צמחים ובעלי חיים,,כיכר,6004,נווה נוי
הגפן,,,יז. צמחים ובעלי חיים,,רחוב,985,נווה נוי
הדר,,,יז. צמחים ובעלי חיים,,רחוב,1405,נווה נוי
"הע""ל",,,ד. הסטוריה יהודית,,רחוב,1016,נווה נוי
הפרטיזנים,,,ט. לוחמי ישראל,,רחוב,1055,נווה נוי
הצנחנים,,,ט. לוחמי ישראל,,רחוב,1057,נווה נוי
הרדוף,,,יז. צמחים ובעלי חיים,,רחוב,1022,נווה נוי
ויטנברג,,יצחק,ט. לוחמי ישראל,,רחוב,1058,נווה נוי
וילנר,,אריה,ט. לוחמי ישראל,,רחוב,1059,נווה נוי
ורד,,,יז. צמחים ובעלי חיים,,רחוב,1021,נווה נוי
זינדר,,חמדה וצבי,יא. תרבות ומדע,,רחוב,1060,נווה נוי
חבצלת הנגב,,,יז. צמחים ובעלי חיים,,רחוב,1005,נווה נוי
חובב,,משה,יא. תרבות ומדע,,רחוב,1061,נווה נוי
חזמה,,יעקב,יא. תרבות ומדע,,רחוב,1062,נווה נוי
חצב,,,יז. צמחים ובעלי חיים,,רחוב,1006,נווה נוי
חרצית,,,יז. צמחים ובעלי חיים,,רחוב,1025,נווה נוי
טננבוים,,מרדכי,ד. הסטוריה יהודית,,רחוב,1065,נווה נוי
יסמין,,,יז. צמחים ובעלי חיים,,רחוב,1018,נווה נוי
יערה,,,יז. צמחים ובעלי חיים,,רחוב,1444,נווה נוי
"כ""ץ",הרב,אליהו,ב. תושבי העיר,ד. הסטוריה יהודית,שדרות,138,נווה נוי
כלנית,,,יז. צמחים ובעלי חיים,,רחוב,1019,נווה נוי
כרכום,,,יז. צמחים ובעלי חיים,,רחוב,1443,נווה נוי
לברי,,מרק,יא. תרבות ומדע,,רחוב,1069,נווה נוי
לילך,,,יז. צמחים ובעלי חיים,,רחוב,1023,נווה נוי
נורית,,,יז. צמחים ובעלי חיים,,רחוב,1020,נווה נוי
נרקיס,,,יז. צמחים ובעלי חיים,,רחוב,1027,נווה נוי
סביון,,,יז. צמחים ובעלי חיים,,רחוב,1406,נווה נוי
סיגלון,,,יז. צמחים ובעלי חיים,,רחוב,1442,נווה נוי
סייפן,,,יז. צמחים ובעלי חיים,,רחוב,1407,נווה נוי
סירני,,אנצו חיים,ט. לוחמי ישראל,,רחוב,1074,נווה נוי
סמילן,,רות (שפירא),יא. תרבות ומדע,,רחוב,1075,נווה נוי
סתונית,,,יז. צמחים ובעלי חיים,,רחוב,1008,נווה נוי
עירית,,,יז. צמחים ובעלי חיים,,רחוב,1004,נווה נוי
פורת,,לאה,יא. תרבות ומדע,,רחוב,1080,נווה נוי
פטל,,,יז. צמחים ובעלי חיים,,רחוב,1000,נווה נוי
פלפלון,,,יז. צמחים ובעלי חיים,,רחוב,1028,נווה נוי
פעמון החירות,,,ג. אישים בינלאומיים,,גן,,נווה נוי
פקועה,,,יז. צמחים ובעלי חיים,,רחוב,1009,נווה נוי
פרטוש,פרופ’,עדן,יא. תרבות ומדע,,משעול,1084,נווה נוי
צאלון,,,יז. צמחים ובעלי חיים,,רחוב,1024,נווה נוי
צביה ויצחק,,(לובוטקין וצוקרמן),ט. לוחמי ישראל,,רחוב,1087,נווה נוי
צבעוני,,,יז. צמחים ובעלי חיים,,רחוב,1010,נווה נוי
צבר,,,יז. צמחים ובעלי חיים,,רחוב,1011,נווה נוי
קובנר,,אבא,ד. הסטוריה יהודית,ט. לוחמי ישראל,רחוב,1030,נווה נוי
רוט,,אגון,ט. לוחמי ישראל,,רחוב,1090,נווה נוי
רותם,,,ט. לוחמי ישראל,,רחוב,1012,נווה נוי
רייס,,רפאל,ט. לוחמי ישראל,,רחוב,1093,נווה נוי
רקפת,,,יז. צמחים ובעלי חיים,,רחוב,1026,נווה נוי
שיזף,,,יז. צמחים ובעלי חיים,,רחוב,1014,נווה נוי
שיטה,,,יז. צמחים ובעלי חיים,,רחוב,1013,נווה נוי
תאנה,,,יז. צמחים ובעלי חיים,,רחוב,1415,נווה נוי
תלמה,,(ילין),יא. תרבות ומדע,,רחוב,1098,נווה נוי
תמר,,,יז. צמחים ובעלי חיים,,רחוב,1007,נווה נוי
בשמת,,,יז. צמחים ובעלי חיים,מועצה 67 - 11/09/2017,רחוב,638,סיגליות
גרגר הנחלים,,,יז. צמחים ובעלי חיים,,רחוב,639,סיגליות
דפנה,,,יז. צמחים ובעלי חיים,,רחוב,631,סיגליות
לימונית,,,יז. צמחים ובעלי חיים,,רחוב,635,סיגליות
מרווה,,,יז. צמחים ובעלי חיים,,רחוב,632,סיגליות
סיגליות,,,יז. צמחים ובעלי חיים,,שכונה,6540,סיגליות
קורנית,,,יז. צמחים ובעלי חיים,,רחוב,634,סיגליות
קינמון,,,יז. צמחים ובעלי חיים,מועצה 67 - 11/09/2017,רחוב,636,סיגליות
רוזמרין,,,יז. צמחים ובעלי חיים,,רחוב,633,סיגליות
ריחן,,,יז. צמחים ובעלי חיים,,רחוב,637,סיגליות
אהוד,,(בן-גרא),ח. מורשת,,רחוב,976,עיר עתיקה
אוהלי קידר,,,ח. מורשת,,רחוב,963,עיר עתיקה
אוסטרובסקי,,גרשון,ב. תושבי העיר,,רחוב,984,עיר עתיקה
אוריה החיתי,,,ח. מורשת,,רחוב,901,עיר עתיקה
אלישע הנביא,,,ח. מורשת,,רחוב,903,עיר עתיקה
אלנבי,פילדמרשל,אדמונד,ג. אישים בינלאומיים,,גן,,עיר עתיקה
אנילביץ',,מרדכי,ד. הסטוריה יהודית,,רחוב,902,עיר עתיקה
אפרים,,,ח. מורשת,,רחוב,904,עיר עתיקה
"אצ""ג",,,ד. הסטוריה יהודית,,רחוב,900,עיר עתיקה
אשר,,,ח. מורשת,,רחוב,905,עיר עתיקה
אתא טורק,,מוסטפה כאמל,ג. אישים בינלאומיים,,כיכר,,עיר עתיקה
באר אברהם,,,ח. מורשת,,רחוב,973,עיר עתיקה
בית אשל,,,ז. מקומות של עם ישראל,ט. לוחמי ישראל,רחוב,906,עיר עתיקה
בן עדי,,הרברט,ב. תושבי העיר,,רחוב,433,עיר עתיקה
בנימין,,,ח. מורשת,,רחוב,907,עיר עתיקה
בר כוכבא,,שמעון,ח. מורשת,,רחוב,908,עיר עתיקה
ברוך,,טירקל,ב. תושבי העיר,,גן,,עיר עתיקה
ברק,,(בן אבינעם),ח. מורשת,,רחוב,909,עיר עתיקה
גד,,,ח. מורשת,,רחוב,910,עיר עתיקה
גרשון,,(דובינבוים),ט. לוחמי ישראל,,רחוב,911,עיר עתיקה
דבורה,,הנביאה,ח. מורשת,,רחוב,912,עיר עתיקה
דיוויס,פרופ',עלי,א. ידידי העיר,יד. יקירי העיר,רחוב,975,עיר עתיקה
דינה,,,ח. מורשת,,רחוב,434,עיר עתיקה
דן,,,ח. מורשת,,רחוב,913,עיר עתיקה
האבות,,,ח. מורשת,,רחוב,914,עיר עתיקה
הגדודים,,,ט. לוחמי ישראל,,רחוב,978,עיר עתיקה
הגדם,,,ט. לוחמי ישראל,,רחוב,979,עיר עתיקה
הגר,,,ח. מורשת,,רחוב,916,עיר עתיקה
הדסה,,,ד. הסטוריה יהודית,,רחוב,917,עיר עתיקה
ההגנה,,,ט. לוחמי ישראל,,רחוב,918,עיר עתיקה
ההסתדרות,,,ד. הסטוריה יהודית,,רחוב,919,עיר עתיקה
הושע,,(בן בארי),ח. מורשת,,רחוב,920,עיר עתיקה
החלוץ,,,ד. הסטוריה יהודית,,רחוב,921,עיר עתיקה
"הל""ה",,,ט. לוחמי ישראל,,רחוב,959,עיר עתיקה
הלמן,,אברהם,ב. תושבי העיר,,רחבת,989,עיר עתיקה
המוכתר,,(משה גורדון),ב. תושבי העיר,,רחוב,981,עיר עתיקה
המכבים,,,ח. מורשת,,רחוב,922,עיר עתיקה
הנוקם,,(שלום שוורצברד),ט. לוחמי ישראל,,רחוב,958,עיר עתיקה
הנשיא,,,ד. הסטוריה יהודית,,גן,,עיר עתיקה
העצמאות,,,ד. הסטוריה יהודית,,רחוב,953,עיר עתיקה
"הפלמ""ח",,,ט. לוחמי ישראל,,רחוב,923,עיר עתיקה
הקומנדו הצרפתי,,,א. ידידי העיר,ט. לוחמי ישראל,צומת,,עיר עתיקה
הרבבה,,,ב. תושבי העיר,,רחוב,924,עיר עתיקה
הרצל,,בנימין זאב,י. מנהיגים יהודים,,רחוב,925,עיר עתיקה
הרצפלד,,אברהם,יב. פרס ישראל,יד. יקירי העיר,רחוב,826,עיר עתיקה
השבטים,,,ח. מורשת,,רחוב,926,עיר עתיקה
השווקים,,,מלאכה ומתכות,,רחוב,983,עיר עתיקה
זבולון,,,ח. מורשת,,רחוב,927,עיר עתיקה
זכריה,,(בן ברכיה),ח. מורשת,,רחוב,928,עיר עתיקה
חבקוק,,,ח. מורשת,,רחוב,929,עיר עתיקה
חברון,,,ז. מקומות של עם ישראל,,רחוב,102,עיר עתיקה
חגי,,,ח. מורשת,,רחוב,930,עיר עתיקה
חטיבת הנגב,,,ט. לוחמי ישראל,,רחוב,931,עיר עתיקה
חנני,,,ח. מורשת,,רחוב,932,עיר עתיקה
טנא,הרב,אביגדור,ב. תושבי העיר,,רחוב,435,עיר עתיקה
טרומפלדור,,יוסף,ד. הסטוריה יהודית,,רחוב,933,עיר עתיקה
יאיר,,(אברהם שטרן),ט. לוחמי ישראל,,רחוב,851,עיר עתיקה
יונה הנביא,,,ח. מורשת,,רחוב,935,עיר עתיקה
יוסף,,,ח. מורשת,,רחוב,936,עיר עתיקה
יוסף ומאיר,,,ב. תושבי העיר,,רחוב,915,עיר עתיקה
יחזקאל,,,ח. מורשת,,רחוב,937,עיר עתיקה
יסקי,"ד""ר",חיים,יא. תרבות ומדע,,רחוב,816,עיר עתיקה
יפתח הגלעדי,,,ח. מורשת,,רחוב,977,עיר עתיקה
ירמיהו,,,ח. מורשת,,רחוב,934,עיר עתיקה
ישמעאל,,,ח. מורשת,,רחוב,938,עיר עתיקה
ישעיהו הנביא,,,ח. מורשת,,רחוב,939,עיר עתיקה
יששכר,,,ח. מורשת,,רחוב,940,עיר עתיקה
כפר דרום,,,ז. מקומות של עם ישראל,,רחוב,971,עיר עתיקה
לוי,,,ח. מורשת,,רחוב,951,עיר עתיקה
